"cle_unique";"colonne";"valeur"
E12966_P1_0;date_heure_recuperation;2023-12-13
E12966_P1_0;nom_fichier;2023-12-13-10-13546-AVIS-SOC-GLASSDOOR-E12966_P1.html
E12966_P1_0;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E12966_P1_0;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E12966_P1_0;source_du_fichier;GLASSDOOR
E12966_P1_0;type_du_fichier;AVIS-SOC
E12966_P1_0;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13546-AVIS-SOC-GLASSDOOR-E12966_P1.html
E12966_P1_0;taille_du_fichier;53
E12966_P2_1;date_heure_recuperation;2023-12-13
E12966_P2_1;nom_fichier;2023-12-13-10-13546-AVIS-SOC-GLASSDOOR-E12966_P2.html
E12966_P2_1;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E12966_P2_1;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E12966_P2_1;source_du_fichier;GLASSDOOR
E12966_P2_1;type_du_fichier;AVIS-SOC
E12966_P2_1;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13546-AVIS-SOC-GLASSDOOR-E12966_P2.html
E12966_P2_1;taille_du_fichier;53
E10686_P1_2;date_heure_recuperation;2023-12-13
E10686_P1_2;nom_fichier;2023-12-13-10-13550-AVIS-SOC-GLASSDOOR-E10686_P1.html
E10686_P1_2;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E10686_P1_2;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E10686_P1_2;source_du_fichier;GLASSDOOR
E10686_P1_2;type_du_fichier;AVIS-SOC
E10686_P1_2;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13550-AVIS-SOC-GLASSDOOR-E10686_P1.html
E10686_P1_2;taille_du_fichier;53
E10686_P2_3;date_heure_recuperation;2023-12-13
E10686_P2_3;nom_fichier;2023-12-13-10-13550-AVIS-SOC-GLASSDOOR-E10686_P2.html
